学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,FE13001,分子構造解析," 3.0",B,履修中,履修中,A,2025,通常
,,FE13133,無機・分析化学専門実験," 4.0",-,A,A,A,2025,通常
,,FE13231,物理化学IV," 3.0",-,-,履修中,A,2025,通常
,,FE13252,物理化学演習II," 1.0",-,B,B,A,2025,通常
,,FE13262,物理化学演習III," 1.0",-,-,履修中,A,2025,通常
,,FE13311,有機化学IV," 3.0",-,-,履修中,A,2025,通常
,,FE13313,有機化学専門実験," 4.0",-,-,履修中,A,2025,通常
,,FE13621,無機元素化学," 2.0",-,履修中,履修中,A,2025,通常
,,FE14051,生物分子化学," 1.0",-,-,B,A,2025,通常
,,HB21161,放射線と生命―人体への影響と医療への貢献―," 1.0",-,-,B,C0,2025,通常
,,YAX2021,芸術と文化," 1.0",-,-,C,C0,2025,通常
,,FE13101,無機化学II," 3.0",-,-,A,A,2025,通常
,,FE13221,物理化学III," 3.0",-,-,B,A,2025,通常
,,FE13242,物理化学演習I," 1.0",-,-,A,A,2025,通常
,,FE13273,物理化学専門実験," 4.0",-,-,A,A,2025,通常
,,FE13301,有機化学III," 3.0",-,-,A+,A,2025,通常
,,FE13611,放射化学," 1.0",-,-,A+,A,2025,通常
,,FE14021,計算化学," 1.0",-,-,B,A,2025,通常
,,FE14181,物理化学特論III," 1.0",-,-,B,A,2025,集中
,,1401011,卒業生による業界探訪," 1.0",-,-,A,C,2024,通常
,,2225253,応用体育テニス(秋)," 0.5",-,-,A,C,2024,通常
,,EB61021,生物物理学II," 1.0",-,-,A,B,2024,通常
,,FE12163,化学実験II," 2.0",-,-,B,A,2024,通常
,,FE12201,無機化学I," 3.0",A,A,A,A,2024,通常
,,FE12301,分析化学," 3.0",A,B,B,A,2024,通常
,,FE12401,物理化学I," 3.0",-,-,B,A,2024,通常
,,FE12411,物理化学II," 3.0",-,A,A,A,2024,通常
,,FE12611,有機化学II," 3.0",-,-,A,A,2024,通常
,,FE12701,生物化学," 3.0",A,A,A,A,2024,通常
,,FE12801,基礎化学外書講読," 3.0",A,A+,A+,A,2024,通常
,,1414014,事例に学ぶ環境安全衛生と化学物質," 1.0",-,-,D,C,2024,集中
,,2225243,応用体育テニス(春)," 0.5",-,-,A+,C,2024,通常
,,BC50121,国際学II," 1.0",-,-,A,C0,2024,通常
,,EB82111,動物制御学I," 1.0",-,-,C,C0,2024,通常
,,EE21241,地誌学," 1.0",-,-,C,B,2024,通常
,,FE12143,化学実験," 1.0",-,-,B,A,2024,通常
